"",division_map,TaskName_map,sum_rank,sum_hours,total_people,task_rank_mean,task_hours_mean,task_value_exp_log,task_value_simple_weight,division_map_new_line
34,"Computer or office: Customer service, marketing, or HR",planning,31.0,108.0,20,1.550000,5.400000,4.029266,1.674000,"Computer or office:\nCustomer service, marketing, or HR"
35,"Face to Face: Hospitality, sales, or client care",admin,9.0,50.5,23,0.391304,2.195652,1.412859,0.171834,"Face to Face:\nHospitality, sales, or client care"
36,"Face to Face: Hospitality, sales, or client care",analysing data,9.0,38.0,23,0.391304,1.652174,1.186163,0.129301,"Face to Face:\nHospitality, sales, or client care"
37,"Face to Face: Hospitality, sales, or client care",building rapport,39.0,108.0,23,1.695652,4.695652,4.061452,1.592439,"Face to Face:\nHospitality, sales, or client care"
38,"Face to Face: Hospitality, sales, or client care",communicating,54.0,204.0,23,2.347826,8.869565,7.405531,4.164839,"Face to Face:\nHospitality, sales, or client care"
39,"Face to Face: Hospitality, sales, or client care",computer work,26.0,103.0,23,1.130435,4.478261,2.993098,1.012476,"Face to Face:\nHospitality, sales, or client care"
40,"Face to Face: Hospitality, sales, or client care",creativity,10.0,44.0,23,0.434783,1.913043,1.328832,0.166352,"Face to Face:\nHospitality, sales, or client care"
41,"Face to Face: Hospitality, sales, or client care",decision making,50.0,152.0,23,2.173913,6.608696,6.017328,2.873346,"Face to Face:\nHospitality, sales, or client care"
42,"Face to Face: Hospitality, sales, or client care",getting information,24.0,26.0,23,1.043478,1.130435,1.274376,0.235917,"Face to Face:\nHospitality, sales, or client care"
43,"Face to Face: Hospitality, sales, or client care",judging quality,13.0,35.0,23,0.565217,1.521739,1.227024,0.172023,"Face to Face:\nHospitality, sales, or client care"
44,"Face to Face: Hospitality, sales, or client care",managing,25.0,81.5,23,1.086957,3.543478,2.606558,0.770321,"Face to Face:\nHospitality, sales, or client care"
45,"Face to Face: Hospitality, sales, or client care",manual work,22.0,104.0,23,0.956522,4.521739,2.756577,0.865028,"Face to Face:\nHospitality, sales, or client care"
46,"Face to Face: Hospitality, sales, or client care",planning,50.0,109.0,23,2.173913,4.739130,5.181179,2.060491,"Face to Face:\nHospitality, sales, or client care"
47,"Manual and physical: Manufacture, maintenance, or repair",admin,18.0,108.0,20,0.900000,5.400000,2.911255,0.972000,"Manual and physical:\nManufacture, maintenance, or repair"
48,"Manual and physical: Manufacture, maintenance, or repair",analysing data,6.0,28.0,20,0.300000,1.400000,1.017150,0.084000,"Manual and physical:\nManufacture, maintenance, or repair"
